SadOrHopeless,sad_binary,HowMuchDoYouWeighWithoutShoesInKG,CurrentCigaretteUse,smoker_binary,smoking_freq_group,smoking_freq_score,HowOldAreYou,age_label,age_group
1.0,1.0,,7.0,1.0,Frequent (20~30 days),7.0,4.0,15,15
2.0,0.0,68.04,,,,,7.0,18+,18+
1.0,1.0,,,,,,,,
1.0,1.0,79.38,1.0,0.0,,,1.0,<=12,<=14
1.0,1.0,,1.0,0.0,,,1.0,<=12,<=14
2.0,0.0,59.42,1.0,0.0,,,6.0,17,17
2.0,0.0,65.77,1.0,0.0,,,6.0,17,17
2.0,0.0,56.7,1.0,0.0,,,6.0,17,17
2.0,0.0,45.36,1.0,0.0,,,6.0,17,17
2.0,0.0,62.6,1.0,0.0,,,6.0,17,17
2.0,0.0,58.97,1.0,0.0,,,5.0,16,16
2.0,0.0,59.88,1.0,0.0,,,6.0,17,17
1.0,1.0,62.6,1.0,0.0,,,6.0,17,17
1.0,1.0,72.58,1.0,0.0,,,7.0,18+,18+
1.0,1.0,,1.0,0.0,,,1.0,<=12,<=14
2.0,0.0,63.5,1.0,0.0,,,3.0,14,<=14
1.0,1.0,60.33,1.0,0.0,,,4.0,15,15
2.0,0.0,49.9,1.0,0.0,,,4.0,15,15
2.0,0.0,68.04,1.0,0.0,,,3.0,14,<=14
2.0,0.0,97.52,1.0,0.0,,,4.0,15,15
1.0,1.0,112.95,1.0,0.0,,,5.0,16,16
2.0,0.0,85.28,1.0,0.0,,,3.0,14,<=14
2.0,0.0,65.77,1.0,0.0,,,3.0,14,<=14
2.0,0.0,,1.0,0.0,,,4.0,15,15
1.0,1.0,51.71,1.0,0.0,,,6.0,17,17
2.0,0.0,102.06,2.0,1.0,Light (1~5 days),2.0,4.0,15,15
2.0,0.0,56.7,1.0,0.0,,,5.0,16,16
1.0,1.0,75.75,4.0,1.0,Moderate (6~19 days),4.0,5.0,16,16
2.0,0.0,73.48,1.0,0.0,,,4.0,15,15
1.0,1.0,68.04,1.0,0.0,,,4.0,15,15
2.0,0.0,49.44,1.0,0.0,,,5.0,16,16
2.0,0.0,76.66,1.0,0.0,,,5.0,16,16
1.0,1.0,71.67,2.0,1.0,Light (1~5 days),2.0,5.0,16,16
1.0,1.0,61.69,1.0,0.0,,,5.0,16,16
2.0,0.0,73.94,1.0,0.0,,,4.0,15,15
2.0,0.0,72.58,2.0,1.0,Light (1~5 days),2.0,4.0,15,15
1.0,1.0,72.58,1.0,0.0,,,5.0,16,16
2.0,0.0,52.16,1.0,0.0,,,5.0,16,16
1.0,1.0,59.42,7.0,1.0,Frequent (20~30 days),7.0,6.0,17,17
1.0,1.0,79.38,1.0,0.0,,,7.0,18+,18+
2.0,0.0,55.34,1.0,0.0,,,7.0,18+,18+
1.0,1.0,113.4,7.0,1.0,Frequent (20~30 days),7.0,7.0,18+,18+
1.0,1.0,,,,,,6.0,17,17
2.0,0.0,45.36,1.0,0.0,,,6.0,17,17
1.0,1.0,,,,,,1.0,<=12,<=14
1.0,1.0,77.11,6.0,1.0,Frequent (20~30 days),6.0,4.0,15,15
2.0,0.0,69.85,1.0,0.0,,,7.0,18+,18+
2.0,0.0,70.31,,,,,7.0,18+,18+
2.0,0.0,74.84,7.0,1.0,Frequent (20~30 days),7.0,7.0,18+,18+
2.0,0.0,72.58,1.0,0.0,,,7.0,18+,18+
1.0,1.0,61.24,1.0,0.0,,,6.0,17,17
2.0,0.0,56.7,1.0,0.0,,,6.0,17,17
2.0,0.0,53.07,1.0,0.0,,,7.0,18+,18+
2.0,0.0,58.97,1.0,0.0,,,6.0,17,17
2.0,0.0,61.24,1.0,0.0,,,6.0,17,17
1.0,1.0,86.64,7.0,1.0,Frequent (20~30 days),7.0,7.0,18+,18+
2.0,0.0,58.97,2.0,1.0,Light (1~5 days),2.0,7.0,18+,18+
2.0,0.0,68.04,1.0,0.0,,,7.0,18+,18+
1.0,1.0,,1.0,0.0,,,7.0,18+,18+
2.0,0.0,70.31,1.0,0.0,,,6.0,17,17
2.0,0.0,73.48,1.0,0.0,,,6.0,17,17
2.0,0.0,97.52,1.0,0.0,,,7.0,18+,18+
1.0,1.0,,1.0,0.0,,,,,
1.0,1.0,63.5,7.0,1.0,Frequent (20~30 days),7.0,6.0,17,17
2.0,0.0,92.99,1.0,0.0,,,6.0,17,17
2.0,0.0,90.72,1.0,0.0,,,6.0,17,17
2.0,0.0,60.33,1.0,0.0,,,4.0,15,15
2.0,0.0,72.58,1.0,0.0,,,5.0,16,16
2.0,0.0,63.96,1.0,0.0,,,4.0,15,15
2.0,0.0,84.37,1.0,0.0,,,5.0,16,16
2.0,0.0,99.79,1.0,0.0,,,6.0,17,17
2.0,0.0,68.04,,,,,5.0,16,16
2.0,0.0,,1.0,0.0,,,5.0,16,16
2.0,0.0,65.77,1.0,0.0,,,6.0,17,17
1.0,1.0,88.45,7.0,1.0,Frequent (20~30 days),7.0,7.0,18+,18+
1.0,1.0,49.44,1.0,0.0,,,5.0,16,16
2.0,0.0,54.43,1.0,0.0,,,4.0,15,15
2.0,0.0,46.27,1.0,0.0,,,4.0,15,15
1.0,1.0,63.96,4.0,1.0,Moderate (6~19 days),4.0,4.0,15,15
2.0,0.0,50.35,1.0,0.0,,,4.0,15,15
2.0,0.0,69.85,2.0,1.0,Light (1~5 days),2.0,3.0,14,<=14
1.0,1.0,56.7,1.0,0.0,,,3.0,14,<=14
2.0,0.0,54.43,1.0,0.0,,,3.0,14,<=14
2.0,0.0,61.24,1.0,0.0,,,4.0,15,15
1.0,1.0,,1.0,0.0,,,4.0,15,15
2.0,0.0,65.77,1.0,0.0,,,3.0,14,<=14
2.0,0.0,54.43,1.0,0.0,,,3.0,14,<=14
2.0,0.0,55.79,1.0,0.0,,,4.0,15,15
2.0,0.0,70.31,5.0,1.0,Moderate (6~19 days),5.0,4.0,15,15
2.0,0.0,55.34,1.0,0.0,,,7.0,18+,18+
1.0,1.0,61.24,1.0,0.0,,,6.0,17,17
1.0,1.0,,7.0,1.0,Frequent (20~30 days),7.0,,,
2.0,0.0,72.58,3.0,1.0,Light (1~5 days),3.0,6.0,17,17
2.0,0.0,95.26,,,,,6.0,17,17
1.0,1.0,56.7,1.0,0.0,,,7.0,18+,18+
2.0,0.0,66.68,1.0,0.0,,,7.0,18+,18+
2.0,0.0,60.78,1.0,0.0,,,7.0,18+,18+
2.0,0.0,63.5,1.0,0.0,,,6.0,17,17
2.0,0.0,48.99,,,,,7.0,18+,18+
1.0,1.0,85.73,3.0,1.0,Light (1~5 days),3.0,7.0,18+,18+
1.0,1.0,74.84,1.0,0.0,,,7.0,18+,18+
2.0,0.0,56.7,1.0,0.0,,,7.0,18+,18+
1.0,1.0,63.5,1.0,0.0,,,6.0,17,17
2.0,0.0,70.31,1.0,0.0,,,7.0,18+,18+
1.0,1.0,81.65,1.0,0.0,,,6.0,17,17
2.0,0.0,63.5,1.0,0.0,,,7.0,18+,18+
2.0,0.0,68.04,1.0,0.0,,,7.0,18+,18+
2.0,0.0,63.96,1.0,0.0,,,7.0,18+,18+
2.0,0.0,104.33,1.0,0.0,,,6.0,17,17
1.0,1.0,60.33,1.0,0.0,,,6.0,17,17
2.0,0.0,61.24,1.0,0.0,,,6.0,17,17
2.0,0.0,70.31,1.0,0.0,,,6.0,17,17
1.0,1.0,56.7,1.0,0.0,,,5.0,16,16
2.0,0.0,61.24,1.0,0.0,,,4.0,15,15
2.0,0.0,,1.0,0.0,,,5.0,16,16
1.0,1.0,58.97,1.0,0.0,,,5.0,16,16
